833,NASDAQ,CAMT
761,NYSE,CAP
761,NASDAQ,CAR
760,NASDAQ,CARB
419,NASDAQ,CASH
760,NASDAQ,CASS
734,NASDAQ,CASY
620,NYSE,CAT
760,NASDAQ,CATM
416,NASDAQ,CATY
323,AMEX,CAW
432,NYSE,CB
627,NASDAQ,CBAK
412,NASDAQ,CBAN
844,NYSE,CBB
734,NYSE,CBD
413,NASDAQ,CBF
448,NYSE,CBG
636,NYSE,CBI
414,NASDAQ,CBIN
730,NYSE,CBK
446,NYSE,CBL
515,NASDAQ,CBLI
515,NYSE,CBM
525,NASDAQ,CBMX
411,NASDAQ,CBNJ
824,NYSE,CBR
712,NASDAQ,CBRL
513,NASDAQ,CBRX
723,NYSE,CBS
415,NASDAQ,CBSH
511,NASDAQ,CBST
113,NYSE,CBT
411,NYSE,CBU
760,NYSE,CBZ
412,NASDAQ,CCBG
623,NYSE,CCC
634,NASDAQ,CCCL
348,NYSE,CCE
621,AMEX,CCF
440,NYSE,CCG
348,NYSE,CCH
846,NYSE,CCI
133,NYSE,CCJ
325,NYSE,CCK
711,NYSE,CCL
833,NASDAQ,CCMP
411,NASDAQ,CCNE
764,NASDAQ,CCRN
346,NYSE,CCU
812,NASDAQ,CCUR
135,NYSE,CDE
764,NYSE,CDI
446,NYSE,CDR
515,NASDAQ,CDXS
133,AMEX,CDY
110,NYSE,CE
770,NYSE,CEA
712,NYSE,CEC
623,NASDAQ,CECE
766,NASDAQ,CECO
422,AMEX,CEF
840,NYSE,CEL
515,NASDAQ,CELG
340,NASDAQ,CENT
132,NASDAQ,CENX
123,NYSE,CEO
123,AMEX,CEP
825,NASDAQ,CERN
515,NASDAQ,CERS
422,AMEX,CET
723,NASDAQ,CETV
832,NASDAQ,CEVA
112,NYSE,CF
419,NASDAQ,CFBK
412,NASDAQ,CFFI
419,NASDAQ,CFFN
628,NYSE,CFI
520,NYSE,CFN
416,NASDAQ,CFNB
413,NASDAQ,CFNL
415,NYSE,CFR
112,NYSE,CGA
515,NASDAQ,CGEN
124,NYSE,CGG
774,NYSE,CGI
837,NASDAQ,CGNX
134,AMEX,CGR
760,NYSE,CGX
845,NYSE,CHA
412,NASDAQ,CHCO
326,NYSE,CHD
714,NASDAQ,CHDN
754,NASDAQ,CHDX
526,NYSE,CHE
414,NASDAQ,CHFC
412,NASDAQ,CHFN
710,NYSE,CHH
121,NYSE,CHK
730,NASDAQ,CHKE
823,NASDAQ,CHKP
125,NYSE,CHKR
840,NYSE,CHL
449,NASDAQ,CHLN
113,NYSE,CHMT
133,NASDAQ,CHNR
773,NASDAQ,CHRW
730,NYSE,CHS
844,NYSE,CHT
515,NASDAQ,CHTP
725,NASDAQ,CHTR
840,NYSE,CHU
522,NYSE,CI
430,NYSE,CIA
418,NYSE,CIB
121,NYSE,CIE
841,NASDAQ,CIEN
440,NYSE,CIM
822,NASDAQ,CIMT
432,NASDAQ,CINF
621,NYSE,CIR
824,NYSE,CIS
434,NASDAQ,CISG
424,NYSE,CIT
414,NASDAQ,CITZ
124,NYSE,CJES
733,NASDAQ,CJJD
726,NASDAQ,CKEC
765,NYSE,CKP
852,NASDAQ,CKSW
448,AMEX,CKX
323,NYSE,CL
124,NYSE,CLB
412,NASDAQ,CLBH
623,NYSE,CLC
760,NASDAQ,CLCT
133,NYSE,CLD
515,NASDAQ,CLDX
133,NYSE,CLF
432,NYSE,CLGX
637,NYSE,CLH
441,NYSE,CLI
122,NASDAQ,CLMT
912,NASDAQ,CLNE
626,NASDAQ,CLNT
445,NYSE,CLP
121,NYSE,CLR
841,NASDAQ,CLRO
834,NASDAQ,CLRX
835,NYSE,CLS
515,NASDAQ,CLSN
623,NASDAQ,CLWT
312,NYSE,CLX
410,NYSE,CM
414,NYSE,CMA
130,NYSE,CMC
620,NASDAQ,CMCO
722,NASDAQ,CMCSA
420,NASDAQ,CME
342,AMEX,CMFO
712,NYSE,CMG
622,NYSE,CMI
724,NASDAQ,CMLS
520,NYSE,CMN
440,NYSE,CMO
133,NYSE,CMP
911,NYSE,CMS
419,NASDAQ,CMSB
322,AMEX,CMT
841,NASDAQ,CMTL
425,NYSE,CMU
432,NYSE,CNA
411,NASDAQ,CNBC
411,NASDAQ,CNBKA
522,NYSE,CNC
515,NASDAQ,CNDO
851,NASDAQ,CNET
620,NYSE,CNH
776,NYSE,CNI
821,NASDAQ,CNIT
911,NYSE,CNL
521,NASDAQ,CNMD
431,NYSE,CNO
913,NYSE,CNP
121,NYSE,CNQ
822,NASDAQ,CNQR
773,AMEX,CNR
422,NYSE,CNS
814,NASDAQ,CNTF
711,NASDAQ,CNTY
133,NYSE,CNX
525,NYSE,CO
314,NASDAQ,COBR
415,NASDAQ,COBZ
766,NASDAQ,COCO
764,NYSE,CODI
424,NYSE,COF
121,NYSE,COG
836,NASDAQ,COGO
321,NYSE,COH
837,NASDAQ,COHR
834,NASDAQ,COHU
348,NASDAQ,COKE
611,NYSE,COL
419,NASDAQ,COLB
320,NASDAQ,COLM
735,NASDAQ,CONN
520,NYSE,COO
820,NASDAQ,COOL
734,NASDAQ,CORE
515,NASDAQ,CORT
712,NASDAQ,COSI
732,NASDAQ,COST
348,NYSE,COT
520,NYSE,COV
420,NASDAQ,COWN
776,NYSE,CP
771,NYSE,CPA
342,NYSE,CPB
121,NYSE,CPE
416,NYSE,CPF
714,NASDAQ,CPHC
510,AMEX,CPHI
912,NYSE,CPK
910,NYSE,CPL
775,NASDAQ,CPLP
911,NYSE,CPN
744,NASDAQ,CPRT
512,NASDAQ,CPRX
825,NASDAQ,CPSI
130,NASDAQ,CPSL
424,NASDAQ,CPSS
627,NASDAQ,CPST
445,NYSE,CPT
821,NASDAQ,CPWR
341,NYSE,CQB
120,AMEX,CQP
622,NYSE,CR
769,NASDAQ,CRAI
810,NASDAQ,CRAY
520,NASDAQ,CRDC
814,NASDAQ,CRDS
834,NASDAQ,CREE
637,NASDAQ,CREG
633,NYSE,CRH
320,NYSE,CRI
515,NASDAQ,CRIS
121,NYSE,CRK
515,NYSE,CRL
821,NYSE,CRM
511,NASDAQ,CRME
744,NASDAQ,CRMT
841,NASDAQ,CRNT
321,NASDAQ,CROX
124,NYSE,CRR
412,NASDAQ,CRRB
729,NASDAQ,CRRC
626,NYSE,CRS
123,NYSE,CRT
515,NASDAQ,CRTX
832,NASDAQ,CRUS
750,AMEX,CRV
434,NASDAQ,CRVL
725,NASDAQ,CRWN
320,NASDAQ,CRWS
521,NYSE,CRY
121,NASDAQ,CRZO
417,NYSE,CS
419,NASDAQ,CSBK
824,NYSE,CSC
814,NASDAQ,CSCO
424,NYSE,CSE
413,NASDAQ,CSFL
441,NYSE,CSG
448,NASDAQ,CSGP
826,NASDAQ,CSGS
424,NYSE,CSH
521,NASDAQ,CSII
832,NASDAQ,CSIQ
322,NYSE,CSL
826,NASDAQ,CSPI
745,NYSE,CSS
523,NYSE,CSU
833,NASDAQ,CSUN
762,NYSE,CSV
422,NASDAQ,CSWC
776,NYSE,CSX
760,NASDAQ,CTAS
322,NYSE,CTB
413,NASDAQ,CTBI
449,NYSE,CTC
821,NASDAQ,CTCH
723,NASDAQ,CTCM
742,NASDAQ,CTHR
322,NASDAQ,CTIB
515,NASDAQ,CTIC
844,NYSE,CTL
449,AMEX,CTO
730,NASDAQ,CTRN
710,NASDAQ,CTRP
836,NYSE,CTS
826,NASDAQ,CTSH
914,NASDAQ,CTWS
826,NASDAQ,CTXS
837,NYSE,CUB
716,NYSE,CUK
515,AMEX,CUR
